Data da Venda,Produto,Quantidade,Preço,Região,Vendedor
2024-02-24,section,55,209,Port Samuel,Carlos Nelson
2024-09-01,speak,65,254,West Carrieberg,Toni Henderson
2024-09-15,small,3,193,Calderonside,Samantha Harris
2024-08-19,recent,39,168,Lake Kristen,Peter Page
2024-08-17,method,90,371,Mckinneyton,Shari Franco
2024-06-21,tonight,3,65,Charlesmouth,Edward Grimes
2024-04-16,me,18,79,Port Tammyfort,Gina Jackson
2024-02-26,yet,40,151,New Haley,Alice Vasquez
2024-07-29,nothing,3,139,Robertsburgh,Heather Thomas
2024-03-31,break,7,445,Hullchester,Christina Carter
2024-02-13,memory,77,498,Lake Anthony,Sandra Hall
2024-08-16,chance,11,156,Gabrielhaven,Damon Glenn
2024-06-11,per,31,14,Lake Michelle,Brian Wallace
2024-01-02,give,56,86,Lake William,Terry Rivera
2024-03-09,training,66,176,Jamesberg,Jennifer Lewis
2024-06-27,white,3,302,New Lisaside,Dustin Mcintyre
2024-05-08,front,52,250,Ericaside,Luke Huff
2024-03-19,garden,16,482,Lake Kathyland,Sheri Garcia
2024-05-09,doctor,17,275,East Wendybury,Henry Mcintosh
2024-01-25,phone,35,212,Hansenburgh,Tammy Stafford
2024-01-27,happy,72,151,Gonzalezberg,Seth Lopez
2024-10-06,ahead,62,334,Maldonadoburgh,Brittany Vang
2024-02-05,represent,22,117,Larahaven,Steven Kelley
2024-03-01,skin,24,122,Davidchester,Penny Carter
2024-07-13,size,94,384,Mclaughlinview,Jeremy Scott
2024-03-09,discover,25,386,West Jeffery,Richard Moreno
2024-09-10,standard,23,199,West Josephtown,Heather Harris
2024-02-28,choice,38,308,Millerside,Dr. Barbara Moore
2024-05-07,second,24,27,Blaketown,Darius Foster
2024-05-19,involve,51,159,Dillonchester,Tiffany Spencer
2024-04-19,leader,97,76,Williamstad,Destiny Phillips
2024-07-29,population,30,235,South Jonathan,Jeremy Miller
2024-07-17,place,53,142,Lake Donnachester,Emma Pratt
2024-02-02,wrong,74,61,Erikabury,Patricia Richardson
2024-05-20,industry,94,182,Stephanieborough,Heidi Johnson
2024-01-13,public,32,237,New Jamie,Lisa Leblanc
2024-05-22,professor,19,219,Schmidtport,Darren Thompson
2024-03-17,to,34,462,South Stacey,Suzanne Adams
2024-06-16,capital,35,399,Brandonland,Howard Scott
2024-02-29,east,91,243,East Ryanside,Lisa Smith
2024-03-14,adult,8,24,Williammouth,William Jones
2024-05-01,wish,88,149,Port Laura,Zachary Bates
2024-06-27,represent,15,33,West Stevenchester,Sara Austin
2024-08-26,evening,63,491,Mccarthyshire,Breanna Mitchell
2024-02-25,degree,13,235,Hancockshire,Tara Swanson
2024-04-16,behavior,82,257,West Sandra,Erica Combs
2024-02-01,hit,48,87,Natalieside,April Weaver
2024-05-17,those,76,76,Kellyborough,Tonya Hansen
2024-06-23,owner,48,392,West Patriciamouth,Tina Pierce
2024-03-24,cause,34,443,Garyville,Andrea Kaiser
2024-01-26,something,49,436,Lake Stephaniefurt,Crystal Alexander
2024-08-01,factor,43,229,Port Robertchester,Kara Evans
2024-01-18,front,92,95,North Davidton,Katie Palmer
2024-07-30,once,96,54,New Patricia,Jennifer Steele
2024-03-06,avoid,70,139,Lukefurt,Amanda Chang
2024-02-07,course,12,120,Jackstad,Anthony Coleman
2024-07-09,late,67,150,Cordovaview,Brooke Ross
2024-07-16,citizen,83,185,South Kathyside,Mary Marshall
2024-07-03,bill,56,98,Jonathanville,Keith Green
2024-04-28,though,70,334,New Kennethtown,Hector Thomas
2024-02-13,start,73,186,Paultown,Julie Pratt
2024-09-03,often,60,228,Mcculloughtown,Nicole Gomez
2024-03-26,discuss,27,170,Morganside,Lynn Benson
2024-04-29,movement,48,428,Johnsonmouth,Kelly Powell
2024-05-12,morning,96,383,Shafferside,Tyler Webb
2024-03-28,past,36,41,North Timothy,Jesse Alexander
2024-04-30,ask,63,317,Payneville,Jeffrey Hansen
2024-10-10,institution,92,40,South William,Alicia Moore
2024-05-25,him,56,12,South Heather,Victoria Jenkins
2024-06-16,turn,27,145,Joyceton,Stephanie Lopez
2024-02-04,value,68,299,Port Lindatown,William Campbell
2024-07-18,military,63,473,West Robert,Brandon Charles
2024-07-23,type,91,494,Kimberlyfort,Emily Lozano DDS
2024-01-16,threat,13,495,North Lisa,Anne Small
2024-08-07,another,77,457,Lake Brianfort,Donald Hayes
2024-03-10,sell,46,448,Port Ashley,Caleb Delgado DDS
2024-07-31,stuff,53,375,Juliemouth,Jessica Harvey
2024-06-02,analysis,82,265,Gonzalezberg,Charles Rodriguez
2024-05-05,Mrs,15,418,Mitchellchester,Jake Austin
2024-09-20,material,7,376,North Matthewmouth,Joseph Zhang
2024-01-04,right,48,147,Sharonside,Katherine Quinn
2024-08-14,reveal,57,19,South Elizabethland,Lynn Thompson
2024-03-06,church,77,185,East Gabrielfurt,James Zimmerman
2024-02-25,article,30,450,New Juan,Maxwell Walker
2024-03-23,send,57,273,Debbiestad,John Leon
2024-08-10,question,2,210,Lake Joel,Kevin Hampton
2024-07-31,reveal,35,68,Sherryville,Meghan Evans
2024-09-27,discussion,49,344,West Tina,Fernando Horton
2024-04-12,think,20,417,South Joel,Christopher Solis
2024-02-23,her,61,304,North Jonathan,Kari Holmes
2024-10-09,response,4,331,West Jasminechester,Laura Estrada
2024-02-16,see,28,197,Lake Julian,Mr. Curtis Klein
2024-07-24,indicate,98,45,Port Andrewstad,Kyle Lopez
2024-06-26,ahead,83,410,South Michelleshire,Jeremiah Simon
2024-10-10,shake,49,204,North Lindsay,Randall Ponce
2024-05-27,protect,63,470,Briannaview,Jeffrey Martin
2024-09-10,street,43,36,North Donaldtown,Mark Bowen
2024-05-17,society,74,263,Adamston,Maria Gibson
2024-01-02,station,44,260,South Tammy,Shawn Harper
2024-03-13,nation,4,183,East Joshuaton,Jonathan Rodriguez
2024-09-26,throughout,35,298,North Phillipfort,Adam Murphy
2024-10-10,hear,57,28,Port Carolynside,Jessica Gentry
2024-05-10,market,42,385,Dylanton,Jennifer Soto
2024-09-27,let,4,321,East Williamhaven,Joseph Carr
2024-01-08,fund,58,246,Jennifertown,Diane Garcia
2024-02-20,human,93,211,Amandaland,Amanda Padilla
2024-01-05,exist,51,152,Christopherchester,James Wilson
2024-01-28,about,53,388,New Meganside,Rachel Reid
2024-04-10,adult,60,272,Port Philliptown,Scott Townsend
2024-06-22,then,72,472,Sandersfurt,Gabriela Marks DVM
2024-01-19,within,4,376,Christianmouth,Cathy Mccullough
2024-09-22,likely,57,113,East April,Jack Wilson
2024-09-26,explain,46,454,Lake Zacharystad,Daniel Robinson
2024-02-13,develop,74,271,Shelbyton,Kylie Jackson
2024-07-03,other,62,312,North Amberburgh,Tyler Williams
2024-09-23,left,22,147,Maryhaven,Christopher Harmon
2024-04-19,line,41,364,Michaelmouth,Ashley Sanchez
2024-10-12,old,52,212,Beckerland,Jennifer Parker
2024-07-06,under,66,499,West Christopherburgh,Andrew Chapman
2024-09-09,yard,11,200,Christianberg,Gloria Cox
2024-03-12,great,61,416,Port Joyceside,Heather Gardner
2024-03-14,thus,79,89,South Kimberlyside,Hayley Tucker
