Data da Venda,Produto,Quantidade,Preço,Região,Vendedor,Total de Vendas
2024-02-24,section,55,209,Port Samuel,Carlos Nelson,11495
2024-09-01,speak,65,254,West Carrieberg,Toni Henderson,16510
2024-09-15,small,3,193,Calderonside,Samantha Harris,579
2024-08-19,recent,39,168,Lake Kristen,Peter Page,6552
2024-08-17,method,90,371,Mckinneyton,Shari Franco,33390
2024-06-21,tonight,3,65,Charlesmouth,Edward Grimes,195
2024-04-16,me,18,79,Port Tammyfort,Gina Jackson,1422
2024-02-26,yet,40,151,New Haley,Alice Vasquez,6040
2024-07-29,nothing,3,139,Robertsburgh,Heather Thomas,417
2024-03-31,break,7,445,Hullchester,Christina Carter,3115
2024-02-13,memory,77,498,Lake Anthony,Sandra Hall,38346
2024-08-16,chance,11,156,Gabrielhaven,Damon Glenn,1716
2024-06-11,per,31,14,Lake Michelle,Brian Wallace,434
2024-01-02,give,56,86,Lake William,Terry Rivera,4816
2024-03-09,training,66,176,Jamesberg,Jennifer Lewis,11616
2024-06-27,white,3,302,New Lisaside,Dustin Mcintyre,906
2024-05-08,front,52,250,Ericaside,Luke Huff,13000
2024-03-19,garden,16,482,Lake Kathyland,Sheri Garcia,7712
2024-05-09,doctor,17,275,East Wendybury,Henry Mcintosh,4675
2024-01-25,phone,35,212,Hansenburgh,Tammy Stafford,7420
2024-01-27,happy,72,151,Gonzalezberg,Seth Lopez,10872
2024-10-06,ahead,62,334,Maldonadoburgh,Brittany Vang,20708
2024-02-05,represent,22,117,Larahaven,Steven Kelley,2574
2024-03-01,skin,24,122,Davidchester,Penny Carter,2928
2024-07-13,size,94,384,Mclaughlinview,Jeremy Scott,36096
2024-03-09,discover,25,386,West Jeffery,Richard Moreno,9650
2024-09-10,standard,23,199,West Josephtown,Heather Harris,4577
2024-02-28,choice,38,308,Millerside,Dr. Barbara Moore,11704
2024-05-07,second,24,27,Blaketown,Darius Foster,648
2024-05-19,involve,51,159,Dillonchester,Tiffany Spencer,8109
2024-04-19,leader,97,76,Williamstad,Destiny Phillips,7372
2024-07-29,population,30,235,South Jonathan,Jeremy Miller,7050
2024-07-17,place,53,142,Lake Donnachester,Emma Pratt,7526
2024-02-02,wrong,74,61,Erikabury,Patricia Richardson,4514
2024-05-20,industry,94,182,Stephanieborough,Heidi Johnson,17108
2024-01-13,public,32,237,New Jamie,Lisa Leblanc,7584
2024-05-22,professor,19,219,Schmidtport,Darren Thompson,4161
2024-03-17,to,34,462,South Stacey,Suzanne Adams,15708
2024-06-16,capital,35,399,Brandonland,Howard Scott,13965
2024-02-29,east,91,243,East Ryanside,Lisa Smith,22113
2024-03-14,adult,8,24,Williammouth,William Jones,192
2024-05-01,wish,88,149,Port Laura,Zachary Bates,13112
2024-06-27,represent,15,33,West Stevenchester,Sara Austin,495
2024-08-26,evening,63,491,Mccarthyshire,Breanna Mitchell,30933
2024-02-25,degree,13,235,Hancockshire,Tara Swanson,3055
2024-04-16,behavior,82,257,West Sandra,Erica Combs,21074
2024-02-01,hit,48,87,Natalieside,April Weaver,4176
2024-05-17,those,76,76,Kellyborough,Tonya Hansen,5776
2024-06-23,owner,48,392,West Patriciamouth,Tina Pierce,18816
2024-03-24,cause,34,443,Garyville,Andrea Kaiser,15062
2024-01-26,something,49,436,Lake Stephaniefurt,Crystal Alexander,21364
2024-08-01,factor,43,229,Port Robertchester,Kara Evans,9847
2024-01-18,front,92,95,North Davidton,Katie Palmer,8740
2024-07-30,once,96,54,New Patricia,Jennifer Steele,5184
2024-03-06,avoid,70,139,Lukefurt,Amanda Chang,9730
2024-02-07,course,12,120,Jackstad,Anthony Coleman,1440
2024-07-09,late,67,150,Cordovaview,Brooke Ross,10050
2024-07-16,citizen,83,185,South Kathyside,Mary Marshall,15355
2024-07-03,bill,56,98,Jonathanville,Keith Green,5488
2024-04-28,though,70,334,New Kennethtown,Hector Thomas,23380
2024-02-13,start,73,186,Paultown,Julie Pratt,13578
2024-09-03,often,60,228,Mcculloughtown,Nicole Gomez,13680
2024-03-26,discuss,27,170,Morganside,Lynn Benson,4590
2024-04-29,movement,48,428,Johnsonmouth,Kelly Powell,20544
2024-05-12,morning,96,383,Shafferside,Tyler Webb,36768
2024-03-28,past,36,41,North Timothy,Jesse Alexander,1476
2024-04-30,ask,63,317,Payneville,Jeffrey Hansen,19971
2024-10-10,institution,92,40,South William,Alicia Moore,3680
2024-05-25,him,56,12,South Heather,Victoria Jenkins,672
2024-06-16,turn,27,145,Joyceton,Stephanie Lopez,3915
2024-02-04,value,68,299,Port Lindatown,William Campbell,20332
2024-07-18,military,63,473,West Robert,Brandon Charles,29799
2024-07-23,type,91,494,Kimberlyfort,Emily Lozano DDS,44954
2024-01-16,threat,13,495,North Lisa,Anne Small,6435
2024-08-07,another,77,457,Lake Brianfort,Donald Hayes,35189
2024-03-10,sell,46,448,Port Ashley,Caleb Delgado DDS,20608
2024-07-31,stuff,53,375,Juliemouth,Jessica Harvey,19875
2024-06-02,analysis,82,265,Gonzalezberg,Charles Rodriguez,21730
2024-05-05,Mrs,15,418,Mitchellchester,Jake Austin,6270
2024-09-20,material,7,376,North Matthewmouth,Joseph Zhang,2632
2024-01-04,right,48,147,Sharonside,Katherine Quinn,7056
2024-08-14,reveal,57,19,South Elizabethland,Lynn Thompson,1083
2024-03-06,church,77,185,East Gabrielfurt,James Zimmerman,14245
2024-02-25,article,30,450,New Juan,Maxwell Walker,13500
2024-03-23,send,57,273,Debbiestad,John Leon,15561
2024-08-10,question,2,210,Lake Joel,Kevin Hampton,420
2024-07-31,reveal,35,68,Sherryville,Meghan Evans,2380
2024-09-27,discussion,49,344,West Tina,Fernando Horton,16856
2024-04-12,think,20,417,South Joel,Christopher Solis,8340
2024-02-23,her,61,304,North Jonathan,Kari Holmes,18544
2024-10-09,response,4,331,West Jasminechester,Laura Estrada,1324
2024-02-16,see,28,197,Lake Julian,Mr. Curtis Klein,5516
2024-07-24,indicate,98,45,Port Andrewstad,Kyle Lopez,4410
2024-06-26,ahead,83,410,South Michelleshire,Jeremiah Simon,34030
2024-10-10,shake,49,204,North Lindsay,Randall Ponce,9996
2024-05-27,protect,63,470,Briannaview,Jeffrey Martin,29610
2024-09-10,street,43,36,North Donaldtown,Mark Bowen,1548
2024-05-17,society,74,263,Adamston,Maria Gibson,19462
2024-01-02,station,44,260,South Tammy,Shawn Harper,11440
2024-03-13,nation,4,183,East Joshuaton,Jonathan Rodriguez,732
2024-09-26,throughout,35,298,North Phillipfort,Adam Murphy,10430
2024-10-10,hear,57,28,Port Carolynside,Jessica Gentry,1596
2024-05-10,market,42,385,Dylanton,Jennifer Soto,16170
2024-09-27,let,4,321,East Williamhaven,Joseph Carr,1284
2024-01-08,fund,58,246,Jennifertown,Diane Garcia,14268
2024-02-20,human,93,211,Amandaland,Amanda Padilla,19623
2024-01-05,exist,51,152,Christopherchester,James Wilson,7752
2024-01-28,about,53,388,New Meganside,Rachel Reid,20564
2024-04-10,adult,60,272,Port Philliptown,Scott Townsend,16320
2024-06-22,then,72,472,Sandersfurt,Gabriela Marks DVM,33984
2024-01-19,within,4,376,Christianmouth,Cathy Mccullough,1504
2024-09-22,likely,57,113,East April,Jack Wilson,6441
2024-09-26,explain,46,454,Lake Zacharystad,Daniel Robinson,20884
2024-02-13,develop,74,271,Shelbyton,Kylie Jackson,20054
2024-07-03,other,62,312,North Amberburgh,Tyler Williams,19344
2024-09-23,left,22,147,Maryhaven,Christopher Harmon,3234
2024-04-19,line,41,364,Michaelmouth,Ashley Sanchez,14924
2024-10-12,old,52,212,Beckerland,Jennifer Parker,11024
2024-07-06,under,66,499,West Christopherburgh,Andrew Chapman,32934
2024-09-09,yard,11,200,Christianberg,Gloria Cox,2200
2024-03-12,great,61,416,Port Joyceside,Heather Gardner,25376
2024-03-14,thus,79,89,South Kimberlyside,Hayley Tucker,7031
2024-01-31,remain,73,326,Buchananmouth,Sabrina Gillespie,23798
2024-03-22,teacher,34,150,Lake Marcus,Willie Roberts,5100
2024-03-02,once,26,212,Hornchester,Wanda Moran,5512
2024-01-11,drug,42,28,North Anthonyton,James Clark,1176
2024-01-24,environmental,76,463,Jeanneton,Cassandra Anderson,35188
2024-05-01,teach,98,418,Lorettaborough,Laura Cook,40964
2024-10-07,crime,91,186,East Jamesside,Ivan Ingram,16926
2024-01-06,world,70,134,West Stacy,Joseph Moore,9380
2024-05-21,act,94,269,Juanchester,Ashley Vargas,25286
2024-02-07,career,47,48,West Francis,Christina Clark,2256
2024-07-27,visit,95,398,Mccormickmouth,Michelle Yang,37810
2024-02-04,occur,84,55,East Gailville,Andrea Bell,4620
2024-01-12,itself,93,485,Olsonfurt,Victoria Powell,45105
2024-03-05,cause,58,320,Whitefort,Carol Thompson,18560
2024-01-06,eat,86,315,North Robertburgh,James Moses,27090
2024-01-13,area,49,310,Mossport,Claire Duran,15190
2024-08-31,create,8,73,Ralphmouth,Paul Chandler,584
2024-10-05,everybody,53,360,Hannahville,Holly Alexander,19080
2024-05-03,right,65,294,Cynthiachester,Patrick Pope,19110
2024-01-03,think,32,63,West Markburgh,Kristopher Clark,2016
2024-07-29,allow,25,23,West Matthew,Veronica Strong,575
2024-07-12,would,80,62,South Michelle,Rodney Fernandez,4960
2024-02-04,training,67,106,Jenniferland,Jennifer Harrison,7102
2024-08-30,successful,4,320,Clarkside,Timothy Joyce,1280
2024-07-30,clear,3,107,Port Katiestad,Hannah Oliver,321
2024-06-12,late,94,310,Loristad,Jessica Walker,29140
2024-02-08,you,95,396,Port Seth,Andrew Miller,37620
2024-03-10,strong,8,362,Sandersshire,Carolyn Trujillo,2896
2024-05-17,right,10,60,North Paulamouth,Michael Keller,600
2024-09-12,thought,97,321,New Andrea,Eddie Mcdonald,31137
2024-09-05,development,56,302,Lake Davidland,Leslie Gardner,16912
2024-07-30,create,70,295,Davidport,Lisa Watson,20650
2024-04-24,that,91,241,Scottmouth,Lisa Vega,21931
2024-07-11,little,69,77,Hughesland,Melissa Webb,5313
